player_name,role,nationality,primary_team
A Kumble,Bowler,Indian,Royal Challengers Bangalore
A Mishra,Bowler,Indian,Delhi Capitals
AB de Villiers,Batsman,South African,Royal Challengers Bangalore
AM Rahane,Batsman,Indian,Rajasthan Royals
AT Rayudu,Batsman,Indian,Chennai Super Kings
B Kumar,Bowler,Indian,Sunrisers Hyderabad
BB McCullum,Wicket-Keeper,New Zealander,Kolkata Knight Riders
CH Gayle,Batsman,West Indian,Royal Challengers Bangalore
DA Warner,Batsman,Australian,Sunrisers Hyderabad
DJ Bravo,All-Rounder,West Indian,Chennai Super Kings
DL Chahar,Bowler,Indian,Chennai Super Kings
DR Smith,Batsman,West Indian,Rajasthan Royals
DW Steyn,Bowler,South African,Sunrisers Hyderabad
F du Plessis,Batsman,South African,Chennai Super Kings
G Gambhir,Batsman,Indian,Kolkata Knight Riders
HH Pandya,All-Rounder,Indian,Mumbai Indians
Harbhajan Singh,Bowler,Indian,Mumbai Indians
I Sharma,Bowler,Indian,Sunrisers Hyderabad
JJ Bumrah,Bowler,Indian,Mumbai Indians
JP Duminy,All-Rounder,South African,Mumbai Indians
KL Rahul,Batsman,Indian,Punjab Kings
KS Williamson,Batsman,New Zealander,Sunrisers Hyderabad
LH Ferguson,Bowler,New Zealander,Kolkata Knight Riders
M Vijay,Batsman,Indian,Chennai Super Kings
MJ McClenaghan,Bowler,New Zealander,Mumbai Indians
MM Sharma,Bowler,Indian,Sunrisers Hyderabad
MS Dhoni,Wicket-Keeper,Indian,Chennai Super Kings
P Kumar,Bowler,Indian,Sunrisers Hyderabad
PA Patel,Wicket-Keeper,Indian,Rajasthan Royals
PP Chawla,Bowler,Indian,Chennai Super Kings
Q de Kock,Wicket-Keeper,South African,Mumbai Indians
R Ashwin,Bowler,Indian,Chennai Super Kings
RA Tripathi,Batsman,Indian,Sunrisers Hyderabad
RG Sharma,Batsman,Indian,Mumbai Indians
RP Singh,Bowler,Indian,Deccan Chargers
RV Uthappa,Batsman,Indian,Kolkata Knight Riders
Rashid Khan,Bowler,Afghan,Sunrisers Hyderabad
S Dhawan,Batsman,Indian,Sunrisers Hyderabad
SK Raina,Batsman,Indian,Chennai Super Kings
SL Malinga,Bowler,Sri Lankan,Mumbai Indians
SP Narine,All-Rounder,West Indian,Kolkata Knight Riders
SR Watson,All-Rounder,Australian,Chennai Super Kings
SS Iyer,Batsman,Indian,Delhi Capitals
SV Samson,Wicket-Keeper,Indian,Rajasthan Royals
V Kohli,Batsman,Indian,Royal Challengers Bangalore
YS Chahal,Bowler,Indian,Royal Challengers Bangalore
